Name,tR1_meas,tR1_sim,ΔtR1,relΔtR1_percent,tR2_meas,tR2_sim,ΔtR2,relΔtR2_percent
Pentanol,605.131,615.8216521532217,-10.690652153221777,-1.7666674080854852,2.45406,2.5253762610246264,-0.07131626102462629,-2.906052053520545
Heptanol,1127.8425,1126.157234670953,1.6852653290470698,0.1494238184008024,2.47464,2.698576309108116,-0.22393630910811613,-9.049247935381151
Nonanol,1723.56366,1719.0211738591008,4.5424861408992,0.2635519793274825,2.23536,2.2927212767431953,-0.057361276743195244,-2.5660867485861445
Decanol,2005.99158,2003.274242438433,2.717337561567092,0.1354610651739172,2.13798,2.1099241908994633,0.028055809100536955,1.312257790088633
Undecanol,2275.8813,2275.299891313369,0.5814086866312209,0.025546529453500975,2.04858,1.9692648394632868,0.07931516053671306,3.871714091551859
(-)-alpha-Thujone,1527.95604,1526.974510220396,0.9815297796039886,0.06423809022699296,1.54998,1.5041153447697329,0.04586465523026706,2.959048196122986
Camphor,1631.97606,1630.8460280577567,1.1300319422432494,0.06924316905992171,1.80444,1.822735737158164,-0.018295737158164016,-1.013928817703222
L-menthone,1663.97856,1663.5270489036673,0.45151109633275155,0.027134429925151894,1.53606,1.4798214960184974,0.05623850398150254,3.6612179199707398
D-isomenthone,1691.97264,1690.600843630422,1.3717963695778508,0.08107674658248912,1.59588,1.5491647581521728,0.04671524184782716,2.927240259156526
d-Valerolactam,,1669.0745063240122,,,,3.743510772486689,,
Safranal,1785.65934,1784.5089250365445,1.1504149634554324,0.06442522029176251,2.12598,2.1887475906695446,-0.0627675906695444,-2.952407391863724
Octyl acetate,1831.95462,1827.1916538248831,4.762966175116844,0.25999367686939995,1.3275,1.1729117873071866,0.1545882126928133,11.645063103036785
(-)-Verbenone,1808.05452,1803.516821194411,4.537698805588889,0.2509713482306324,2.47848,2.645716140629354,-0.16723614062935432,-6.7475283492041225
Neral,1896.01908,1894.372456228322,1.6466237716779233,0.08684637138134302,2.03634,2.0559805370668913,-0.019640537066891284,-0.9645018546456526
Geranial,1971.96876,,,,2.13612,,,
pulegone,1897.914,1896.9635512294942,0.9504487705057727,0.05007860053225661,1.92078,1.9001609850921386,0.020619014907861333,1.073470928886251
(S)-(+)-Carvone,1899.97188,1899.256826159037,0.7150538409630371,0.037634969679816374,2.54082,2.482160382325387,0.05865961767461325,2.3086884421018903
Piperitone,1932.06576,1931.4421445408807,0.6236154591192644,0.03227713424822892,2.27364,2.3477752721839673,-0.07413527218396743,-3.2606425020657372
Isobornyl acetate,2054.81634,2054.4553150757524,0.36102492424743104,0.01756969307765146,1.46484,1.3262201277951824,0.13861987220481753,9.463140834822747
Geranyl acetate,2283.69558,2283.3493620587496,0.3462179412504156,0.015160424370152506,1.6446,1.465933567696405,0.17866643230359514,10.863822954128368
caryophyllene oxide,2808.10992,2818.631652346473,-10.521732346473073,-0.3746909005069528,1.785,1.5984168921530755,0.18658310784692445,10.452835173497169
4674-50-4,3239.96052,3239.398739175899,0.5617808241008788,0.017339125604557637,2.49792,2.1490859304817818,0.3488340695182184,13.964981645457755
Propiophenone,1669.33572,1669.4268578032486,-0.09113780324855725,-0.0054595251366547914,3.05016,3.3562854787395033,-0.30612547873950335,-10.036374443947313
Butyrophenone,1924.11726,1919.5140258438973,4.603234156102644,0.23923875388460702,2.7075,2.905226409634054,-0.19772640963405408,-7.302914483252228
Valerophenone,2207.3172,2203.5223632276566,3.7948367723433876,0.1719207720731478,2.5443,2.64645707161696,-0.10215707161696042,-4.015134678181049
Hexanophenone,2472.12684,2472.8416951986774,-0.7148551986774692,-0.028916606830637754,2.44122,2.4646417058614327,-0.023421705861432773,-0.959426264795175
Heptanophenone,2720.1492,2727.505234860596,-7.356034860596083,-0.2704276243595786,2.47092,2.3198130024183095,0.15110699758169055,6.115414403610418
Octanophenone,2960.06838,2970.4985212349416,-10.430141234941402,-0.35236149628885943,2.34042,2.2088456135763868,0.1315743864236132,5.621827980602336
4-Methyl-2-pentanone,653.7144,560.45721423864,93.25718576136,14.265738334869175,2.45352,3.7291434858086943,-1.2756234858086941,-51.99156663930573
2-Hexanone,636.18408,649.7977133937371,-13.613633393737132,-2.139889038678417,1.22046,1.2739974094988695,-0.053537409498869426,-4.386658268101324
2-Decanone,1772.1609,1770.3379324052055,1.8229675947945907,0.10286693464428599,1.44168,1.3049042160310267,0.13677578396897339,9.487249872993548
2-Undecanone,2055.98088,2054.3176095727054,1.6632704272947194,0.08089911941665134,1.45158,1.273057248409159,0.1785227515908412,12.298512764769505
2-Dodecanone,2323.96914,2324.4515203273263,-0.48238032732615466,-0.020756744098854713,1.46196,1.2465733120940246,0.21538668790597537,14.732734678512092
2-Tridecanone,2576.06472,2580.396840770194,-4.332120770194251,-0.16816816505271076,1.47234,1.2337035615641996,0.2386364384358004,16.207970878723692
2-Pentadecanone,3039.93282,3050.8575064280476,-10.924686428047607,-0.35937262679533843,1.51584,1.1924797331479788,0.32336026685202124,21.33208431312152
